sentiment,statement
1,"The operations to be sold include manufacturing units in Finland , France , Poland and Turkey , as well as sales units in Germany and Lithuania ."
1,L&T has also made a commitment to redeem the remaining shares by the end of 2011 .
1,The deal was worth about EUR 1.2 mn .
1,"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions ."
1,The share of the share capital of both above mentioned shareholders remains below 5 % .
0,Nokia Siemens Networks has struggled to make a profit in the past two years .
1,"The new system , which will include 60 MC3090 PDAs from Motorola , to be used by 60 Poundstretcher operatives across 3 shifts , will integrate in real-time with the company s existing Warehouse Management System , Aldata G.O.L.D Stock , which went live in May 2008 ."
2,"firm 28 October 2009 - Finnish lifting equipment maker Konecranes Oyj HEL : KCR1V said today it acquired US Machine Tool Solutions Unlimited in Cincinnati , Ohio , for an undisclosed sum ."
0,"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies ."
2,It is also 7.7 pct above the 12-month volume weighted average price of the stock .
1,"The total number of shares in the company will be 585,236,987 Innofactor group Innofactor offers its customers comprehensive solutions in the Microsoft environment ."
1,"Following this increase Huhtamaki 's registered share capital is EUR360 .62 m and the number of shares outstanding is 106,063,320 ."
1,Finnish plastic pipe maker Uponor is selling its Irish and UK infrastructure businesses to private equity company 3i .
1,"Additionally , information on business segments , competitors and future outlook are provided ."
2,These companies will be able to keep their market positions .
1,"Steek , which was set up in 2002 , is based in Bordeaux , southwestern France ."
1,"A total EUR73 .7 m will be provided as secured senior three-year debt from the syndicate , involving Pohjola Bank HEL : POH1S , the Finnish arm of Nordea Bank AB STO : NDA , and Sampo Bank HEL : SAMAS ."
2,Incap and Lankapaja aim to enter into actual agreement to transfer the sheet-metal production to the buyer in February in order to complete the transfer on 1 March 2011 .
2,This combined with foreign investments creates interesting opportunities for Solteq .
1,The total investment of the project will be approximately EUR 36m .
1,What we think ?
0,Performance in 2006 was impacted by the consolidation trend in the telecom sector and the overall and structural changes in the contract manufacturing market in telecommunications technology and industrial electronics .
2,Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009 .
0,"National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation ."
2,"Sales climbed 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure ."
1,"Helsinki-based Componenta bought Turkish listed company Doktas in October 2006 for 89 million euros , making it the largest Finnish investment in Turkey to date ."
0,"Loss after financial items totalled EUR 9.7 mn , compared to a profit of EUR 1.3 mn in the corresponding period in 2008 ."
2,"Recovery has been evident in the liquid handling business , particularly in areas outside Europe and primarily in North America and Asia ."
1,The Engines in Asia-Pacific industry profile is an essential resource for top-level data and analysis covering the engines industry .
1,"Tekla 's software solutions make customers ' core processes more effective in building and construction , energy distribution , infrastructure management and water supply ."
1,"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent ."
1,In July it and Quadriga Capital sold their Lewa GmbH pump-making business to Japan 's Nikkiso Co. .
1,The new activity will incur an investment of about 5 MEUR .
1,"The interim report for the first quarter is published on May 8 , 2009 ."
2,"The agreement will provide The Switch with double the converter capacity , whilst opening up further manufacturing locations in China ."
1,"In addition , a good biological durability is achieved . ''"
0,They are also upset that some of the machinery and work is taken over to Poland .
1,"- Inge Larsen (CFO), 29,045 shares , representing 0.50 % of the share capital ."
1,The price will be specified at the completion date .
1,Finnish food company Raisio Oyj HEL : RAIVV said on Friday it has wrapped up the divestment of its margarine operations to US sector player Bunge Ltd NYSE : BG for EUR80m USD119 .2 m .
1,"Aho is proud of the company 's new product , Lordi-Cola ."
1,"( ADP News ) - Dec 11 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) said yesterday it opened a technology research and development ( R&D ) laboratory at Helsinki University of Technology ."
1,"Before Kemira 's installation NordAlu was producing 3,500 tons of liquid and solid aluminum waste per year ."
2,"Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 ."
0,Sanoma News ' advertising sales decreased by 22 % during the year .
2,"The refining margin for the year was $ 13.39 - bbl , compared to $ 10.46 - bbl in the prior year ."
1,"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA ."
1,"In the third quarter of 2007 , net sales totaled EUR 25.95 mn , and operating profit EUR 3.88 mn ."
1,"In Europe , the paper industry 's situation is paradoxical ."
2,He believes that the soy-oats have a good chance of entering the UK market .
0,Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier .
2,The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .
1,EUR 152.4 mn of this was net interest income .
0,"In Finland , media group Talentum will start personnel negotiations to cut staff in parent company Talentum and publishing unit Talentum media ."
1,"Under the contract , Ericsson will more than double the number of radio base stations in the Elisa network over the coming year ."
1,Group net sales in the third quarter of 2007 totaled EUR 142.3 mn and operating profit EUR 4.3 mn .
0,Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 .
1,The terms of the transactions remained undisclosed .
